Recipe:
1-Pot, 3-Bean Chicken Stew Recipe - Allrecipes.com
Acorn Squash Soup Recipe - Allrecipes.com
6.5,ounce,white onion
3.25,ounce,celery
1.63,ounce,butter
1.63,ounce,flour
0.27,ounce,chicken bouillon
0.14,ounce,dill
0.07,ounce,curry powder
0.16,ounce,cayenne pepper
26.02,ounce,chicken broth
19.51,ounce,evaporated milk
39.03,ounce,acorn squash
0.16,ounce,salt and pepper
1.63,ounce,vegetarian burger

Recipe:
Adas bil Hamod (Lebanese Lentil Lemon Soup) Recipe - Allrecipes.com
1.02,ounce,olive oil
8.15,ounce,white onion
32.59,ounce,lentil
12.22,ounce,garlic
32.59,ounce,spinach
1.02,ounce,mint
0.2,ounce,salt
12.22,ounce,lemon juice

Recipe:
Adrienne's Tom Ka Gai Recipe - Allrecipes.com
0.44,ounce,peanut
5.33,ounce,garlic
1.33,ounce,ginger
2.67,ounce,lemon grass
0.44,ounce,red pepper
2.89,ounce,coriander
0.22,ounce,cumin
1.33,ounce,chicken breast
5.33,ounce,white onion
21.33,ounce,bok choy
42.67,ounce,water
13.33,ounce,coconut milk
2.67,ounce,soy sauce

Recipe:
Afghan Tomato Soup (Aush Goshti) Recipe - Allrecipes.com
0.39,ounce,butter
3.09,ounce,white onion
4.64,ounce,garlic
6.19,ounce,ground beef
4.64,ounce,tomato paste
24.74,ounce,vegetable juice
30.93,ounce,water
11.6,ounce,garbanzo bean
12.37,ounce,fettuccine
0.06,ounce,salt
0.06,ounce,pepper
0.13,ounce,dry mustard
0.39,ounce,dill
0.39,ounce,coriander
0.13,ounce,chili paste
0.26,ounce,lemon juice

Recipe:
African Peanut Soup Recipe - Allrecipes.com
0.79,ounce,olive oil
6.33,ounce,white onion
6.33,ounce,red bell pepper
6.33,ounce,garlic
22.15,ounce,crushed tomato
50.63,ounce,vegetable broth
0.03,ounce,pepper
0.03,ounce,chili powder
4.22,ounce,peanut butter
3.16,ounce,brown rice

Recipe:
African Sweet Potato and Peanut Soup Recipe - Allrecipes.com
0.52,ounce,vegetable oil
4.13,ounce,white onion
4.13,ounce,garlic
0.34,ounce,ginger
0.26,ounce,cumin
8.52,ounce,coriander
0.09,ounce,cinnamon
0.1,ounce,clove
12.4,ounce,roma tomato
24.8,ounce,potato
4.13,ounce,carrot
37.2,ounce,water
0.17,ounce,salt
2.07,ounce,roasted peanut
0.1,ounce,cayenne pepper
1.03,ounce,peanut butter

Recipe:
African Turkey Stew Recipe - Allrecipes.com
14.68,ounce,turkey
0.2,ounce,chicken bouillon
19.57,ounce,red bell pepper
29.35,ounce,roma tomato
4.89,ounce,white onion
19.57,ounce,habanero pepper
0.61,ounce,garlic
1.22,ounce,tomato paste
9.78,ounce,vegetable oil
0.12,ounce,salt

Recipe:
After the Holidays Ham Bone Soup Recipe - Allrecipes.com
14.12,ounce,ham
4.71,ounce,white onion
17.65,ounce,roma tomato
16.47,ounce,mixed vegetables
14.12,ounce,potato
14.12,ounce,fettuccine
7.06,ounce,rice
11.76,ounce,tomato puree

Recipe:
After-Thanksgiving Turkey Soup Recipe - Allrecipes.com
5.91,ounce,turkey
17.74,ounce,white onion
11.83,ounce,carrot
4.44,ounce,celery
11.83,ounce,butter
11.83,ounce,flour
23.66,ounce,half-and-half
11.83,ounce,rice
0.49,ounce,salt
0.25,ounce,chicken bouillon
0.18,ounce,pepper

Recipe:
Ajiaco (Beef and Pepper Stew) Recipe - Allrecipes.com
0.86,ounce,vegetable oil
6.85,ounce,shallot
0.86,ounce,garlic
6.85,ounce,red bell pepper
0.21,ounce,chili powder
0.29,ounce,cumin
20.55,ounce,pot roast
13.7,ounce,potato
13.7,ounce,water
27.41,ounce,chicken broth
0.07,ounce,oregano
0.09,ounce,salt and pepper
1.71,ounce,fresh parsley
6.85,ounce,egg

Recipe:
Ajo Blanco con Uvas Recipe - Allrecipes.com
2.02,ounce,almond
8.06,ounce,bread crumb
20.16,ounce,garlic
0.2,ounce,salt
2.02,ounce,olive oil
1.01,ounce,white wine
32.26,ounce,water
2.02,ounce,ice
32.26,ounce,seedless green grape

Recipe:
Albondigas Recipe - Allrecipes.com
30.33,ounce,water
15.17,ounce,carrot
7.58,ounce,potato
3.79,ounce,white onion
11.37,ounce,salsa
0.16,ounce,beef bouillon
22.75,ounce,ground beef
2.53,ounce,bread crumb
2.53,ounce,milk
3.79,ounce,coriander

Recipe:
Albondigas Soup I Recipe - Allrecipes.com
9.67,ounce,ground beef
2.42,ounce,pork sausage
4.84,ounce,white onion
2.42,ounce,egg
0.05,ounce,salt
0.05,ounce,pepper
0.03,ounce,garlic powder
1.21,ounce,milk
1.26,ounce,basil
2.42,ounce,cornmeal
50.79,ounce,chicken broth
4.84,ounce,salsa
17.54,ounce,diced tomato
0.05,ounce,oregano
2.42,ounce,rice

Recipe:
Albondigas Soup II Recipe - Allrecipes.com
16.08,ounce,ground beef
0.33,ounce,beef bouillon
33.16,ounce,water
4.02,ounce,garlic
4.02,ounce,white onion
1.0,ounce,vegetarian burger
4.02,ounce,egg
0.17,ounce,chili powder
0.08,ounce,oregano
0.25,ounce,cumin
12.06,ounce,carrot
4.02,ounce,red bell pepper
4.02,ounce,celery
14.57,ounce,stewed tomato
2.01,ounce,cabbage
0.08,ounce,red pepper
0.1,ounce,salt and pepper

Recipe:
Albondigas Soup III Recipe - Allrecipes.com
60.49,ounce,water
15.12,ounce,ground beef
3.78,ounce,rice
3.78,ounce,egg
0.95,ounce,oregano
0.32,ounce,garlic
0.32,ounce,pepper
0.04,ounce,cumin
3.78,ounce,flour
11.34,ounce,potato
0.09,ounce,salt and pepper

Recipe:
Alder Wood-Smoked Acorn Squash Soup Recipe - Allrecipes.com
7.27,ounce,alder wood
9.69,ounce,acorn squash
4.84,ounce,bacon
4.84,ounce,butter
19.38,ounce,chicken broth
19.38,ounce,water
0.06,ounce,salt
0.3,ounce,cumin
19.38,ounce,sour cream
4.84,ounce,fresh parsley
9.69,ounce,coriander
0.3,ounce,paprika
0.03,ounce,cayenne pepper

Recipe:
Alison's Slow Cooker Vegetable Beef Soup Recipe - Allrecipes.com
24.24,ounce,ground beef
16.16,ounce,water
4.04,ounce,white onion
28.28,ounce,crushed tomato
16.16,ounce,mixed vegetables
8.08,ounce,potato
1.68,ounce,beef bouillon
0.34,ounce,pepper
0.51,ounce,salt
0.51,ounce,basil

Recipe:
Allana's Excellent Potato Soup Recipe - Allrecipes.com
7.35,ounce,ham
7.35,ounce,white onion
0.46,ounce,butter
36.73,ounce,potato
26.63,ounce,chicken broth
0.46,ounce,dry mustard
11.02,ounce,milk
9.87,ounce,celery
0.04,ounce,garlic powder
0.11,ounce,italian seasoning

Recipe:
Allana's Zesty Red Clam Chowder Recipe - Allrecipes.com
6.49,ounce,bacon
0.54,ounce,vegetable oil
4.33,ounce,white onion
8.66,ounce,carrot
4.33,ounce,celery
4.33,ounce,potato
31.38,ounce,clam
15.69,ounce,diced tomato
16.23,ounce,tomato puree
0.59,ounce,pepper
0.05,ounce,italian seasoning
0.09,ounce,fresh parsley
0.05,ounce,marjoram
0.05,ounce,garlic powder
0.05,ounce,thyme
0.05,ounce,dry mustard
0.09,ounce,cajun seasoning
7.03,ounce,shrimp

Recipe:
All-Bran Simple Way Chili Recipe - Allrecipes.com
16.35,ounce,ground beef
4.09,ounce,white onion
8.18,ounce,red bell pepper
28.62,ounce,roma tomato
14.31,ounce,tomato puree
0.68,ounce,chili powder
0.04,ounce,garlic powder
0.04,ounce,salt
0.1,ounce,pepper
19.42,ounce,red kidney bean
8.18,ounce,gin

Recipe:
Alligator Chili Recipe - Allrecipes.com
0.38,ounce,olive oil
3.02,ounce,red bell pepper
3.02,ounce,white onion
24.16,ounce,alligator meat
21.14,ounce,crushed tomato
24.16,ounce,vegetable juice
11.33,ounce,black bean
11.33,ounce,red kidney bean
0.38,ounce,chipotle chili pepper
0.38,ounce,chili powder
0.13,ounce,cumin
0.13,ounce,cinnamon
0.13,ounce,paprika
0.13,ounce,celery salt
0.06,ounce,ginger
0.08,ounce,salt and pepper
0.08,ounce,chile sauce

Recipe:
Alphabet Soup Recipe - Allrecipes.com
14.08,ounce,ground beef
0.44,ounce,beef bouillon
63.38,ounce,water
0.88,ounce,vegetable juice
14.08,ounce,mixed vegetables
7.04,ounce,fettuccine
0.09,ounce,salt and pepper

Recipe:
A-Maize-ing Corn Chowder Recipe - Allrecipes.com
7.23,ounce,bacon
4.82,ounce,white onion
9.65,ounce,potato
4.82,ounce,water
19.29,ounce,milk
35.57,ounce,cream-style corn
18.39,ounce,fresh corn
0.1,ounce,salt
0.12,ounce,pepper

Recipe:
Amateur's Light Breeze Chicken Chili Recipe - Allrecipes.com
9.27,ounce,chicken
14.83,ounce,chili bean
20.15,ounce,stewed tomato
5.56,ounce,jalapeno
1.85,ounce,white onion
3.71,ounce,red bell pepper
0.35,ounce,chili powder
0.46,ounce,cumin
37.06,ounce,water
6.72,ounce,chicken broth
0.05,ounce,salt

Recipe:
Amazing Hawaiian Chicken Chili Recipe - Allrecipes.com
19.47,ounce,chicken breast
4.87,ounce,barbeque sauce
0.61,ounce,butter
2.43,ounce,white onion
2.43,ounce,garlic
2.43,ounce,red pepper
3.65,ounce,tomato paste
1.22,ounce,chili powder
0.3,ounce,cumin
0.1,ounce,ginger
0.3,ounce,vanilla
0.05,ounce,white sugar
12.17,ounce,pineapple
9.13,ounce,red kidney bean
9.13,ounce,black bean
17.04,ounce,chopped tomato
14.6,ounce,chipotle chili pepper
0.06,ounce,salt and pepper

Recipe:
Amelia's Slow Cooker Brunswick Stew Recipe - Allrecipes.com
0.54,ounce,vegetable oil
17.28,ounce,pork sparerib
4.32,ounce,white onion
4.32,ounce,roasted chicken
30.24,ounce,diced tomato
6.48,ounce,ketchup
1.08,ounce,steak sauce
4.32,ounce,cider vinegar
1.08,ounce,worcestershire
0.54,ounce,chile sauce
4.32,ounce,lemon
0.36,ounce,chicken bouillon
0.27,ounce,pepper
16.2,ounce,fresh corn
8.64,ounce,lima bean

Recipe:
Amy's Mexican Soup Recipe - Allrecipes.com
21.9,ounce,chicken breast
25.55,ounce,roma tomato
9.12,ounce,chile pepper
0.91,ounce,olive oil
3.65,ounce,white onion
0.46,ounce,garlic
0.91,ounce,chicken broth
13.23,ounce,red kidney bean
13.23,ounce,black bean
0.09,ounce,cayenne pepper
3.65,ounce,chili powder
3.65,ounce,cheddar cheese
3.65,ounce,sour cream

Recipe:
Andalusian Gazpacho Recipe - Allrecipes.com
5.37,ounce,cucumber
5.37,ounce,red bell pepper
26.86,ounce,green onion
5.37,ounce,garlic
16.12,ounce,roma tomato
5.37,ounce,celery
26.86,ounce,white kidney bean
1.34,ounce,olive oil
4.03,ounce,red wine vinegar
1.34,ounce,vegetable juice
0.22,ounce,cumin
0.67,ounce,fresh parsley
0.67,ounce,basil
0.34,ounce,oregano
0.06,ounce,salt

Recipe:
Andrea's Pasta Fagioli Recipe - Allrecipes.com
1.13,ounce,olive oil
3.02,ounce,white onion
3.02,ounce,garlic
21.91,ounce,tomato puree
33.25,ounce,water
0.38,ounce,fresh parsley
0.19,ounce,basil
0.19,ounce,oregano
0.13,ounce,salt
11.34,ounce,cannellini bean
11.34,ounce,white kidney bean
2.02,ounce,parmesan cheese
12.09,ounce,ditalini pasta

Recipe:
Angela's Oriental Chicken Noodle Soup Recipe - Allrecipes.com
50.35,ounce,water
6.29,ounce,chicken
33.57,ounce,chicken breast
1.05,ounce,bok choy
8.39,ounce,carrot
0.35,ounce,vegetable oil

Recipe:
Angel's Old Fashioned Beef Stew Recipe - Allrecipes.com
1.15,ounce,vegetable oil
3.15,ounce,flour
0.29,ounce,garlic powder
0.1,ounce,salt
0.1,ounce,pepper
18.36,ounce,ground beef
27.53,ounce,white onion
13.77,ounce,potato
13.77,ounce,carrot
3.44,ounce,celery
18.07,ounce,chicken broth
0.29,ounce,water

Recipe:
Anna's Amazing Goulash Recipe - Allrecipes.com
0.46,ounce,bacon
3.71,ounce,ground beef
7.42,ounce,lamb
7.42,ounce,pork tenderloin
0.46,ounce,butter
3.71,ounce,white onion
1.85,ounce,garlic
3.71,ounce,flour
0.08,ounce,caraway seed
0.7,ounce,paprika
0.12,ounce,red pepper
3.71,ounce,red wine vinegar
6.72,ounce,diced tomato
18.55,ounce,stock
0.46,ounce,beer
0.12,ounce,salt
11.13,ounce,water
3.71,ounce,red bell pepper
5.56,ounce,potato
1.85,ounce,parsnip
2.78,ounce,celery
7.42,ounce,carrot
3.71,ounce,bread crumb
0.93,ounce,cabbage
3.71,ounce,pea

Recipe:
Anna's Linguica and Potato Stew Recipe - Allrecipes.com
5.15,ounce,bacon
3.43,ounce,white onion
3.43,ounce,garlic
13.72,ounce,linguica
41.17,ounce,potato
13.72,ounce,zucchini
13.72,ounce,tomato puree
3.43,ounce,red wine
1.72,ounce,fresh parsley
0.43,ounce,basil
0.09,ounce,salt and pepper

Recipe:
Annie's Lobster Bisque Recipe - Allrecipes.com
1.54,ounce,olive oil
4.12,ounce,white onion
4.12,ounce,white wine
4.12,ounce,sherry
2.57,ounce,flour
12.35,ounce,tomato paste
12.35,ounce,chicken broth
41.18,ounce,milk
0.04,ounce,cayenne pepper
0.02,ounce,pepper
0.09,ounce,italian seasoning
1.03,ounce,worcestershire
4.12,ounce,green onion
12.35,ounce,lobster

Recipe:
Ann's Christmas Eve Bouillabaisse Recipe - Allrecipes.com
1.22,ounce,olive oil
1.22,ounce,celery
1.22,ounce,garlic
3.67,ounce,leek
0.05,ounce,thyme
0.08,ounce,bay leaf
4.43,ounce,diced tomato
4.89,ounce,clam
6.73,ounce,white wine
0.1,ounce,fennel seed
0.03,ounce,pepper
0.46,ounce,fresh parsley
4.89,ounce,red snapper
0.03,ounce,saffron
29.36,ounce,scallop
36.7,ounce,mussel
4.89,ounce,lobster

Recipe:
Ann's Shrimp Etouffee Recipe - Allrecipes.com
6.36,ounce,butter
6.36,ounce,white onion
9.54,ounce,celery
4.77,ounce,garlic
1.59,ounce,flour
63.59,ounce,shrimp
6.36,ounce,mushroom
1.19,ounce,paprika
0.08,ounce,salt
0.08,ounce,pepper
0.08,ounce,red pepper

Recipe:
Anytime Chili Recipe - Allrecipes.com
19.05,ounce,steak
28.57,ounce,tomato puree
9.52,ounce,chili
17.86,ounce,pinto bean
17.86,ounce,red kidney bean
7.14,ounce,tomato paste

Recipe:
Apple and Pork Stew Recipe - Allrecipes.com
1.03,ounce,vegetable oil
16.51,ounce,pork tenderloin
2.06,ounce,flour
1.03,ounce,butter
4.13,ounce,red onion
4.13,ounce,garlic
4.13,ounce,shallot
0.17,ounce,thyme
0.17,ounce,rosemary
0.34,ounce,basil
0.17,ounce,salt
0.09,ounce,pepper
16.51,ounce,potato
16.51,ounce,red wine
28.89,ounce,chicken broth
4.13,ounce,apple

Recipe:
Apple Bacon Tomato Soup Recipe - Allrecipes.com
7.55,ounce,bacon
0.76,ounce,olive oil
3.02,ounce,white onion
0.5,ounce,garlic
24.18,ounce,stock
23.42,ounce,pinto bean
21.91,ounce,stewed tomato
6.04,ounce,celery
0.38,ounce,bay leaf
6.04,ounce,apple
6.04,ounce,red wine
0.15,ounce,salt and pepper

Recipe:
Apple Cider Stew Recipe - Allrecipes.com
17.58,ounce,ground beef
0.37,ounce,flour
0.27,ounce,salt
0.05,ounce,pepper
0.07,ounce,thyme
0.37,ounce,vegetable oil
21.97,ounce,apple cider
17.58,ounce,carrot
13.18,ounce,potato
8.79,ounce,apple
8.79,ounce,white onion
8.79,ounce,water
2.2,ounce,celery

Recipe:
Apricot Lentil Soup Recipe - Allrecipes.com
1.93,ounce,olive oil
5.16,ounce,white onion
5.16,ounce,garlic
3.44,ounce,apricot
15.48,ounce,lentil
51.59,ounce,chicken broth
15.48,ounce,roma tomato
0.11,ounce,cumin
0.11,ounce,thyme
0.13,ounce,salt
0.13,ounce,pepper
1.29,ounce,lemon juice

Recipe:
Argentine Lentil Stew Recipe - Allrecipes.com
10.98,ounce,lentil
43.93,ounce,water
0.23,ounce,chicken bouillon
16.47,ounce,roma tomato
5.49,ounce,white onion
5.49,ounce,carrot
5.49,ounce,apple
5.49,ounce,pea
2.75,ounce,garlic
0.69,ounce,olive oil
2.75,ounce,barbeque sauce
0.11,ounce,paprika
0.14,ounce,salt and pepper

Recipe:
Artichoke and Chickpea Stew Recipe - Allrecipes.com
0.96,ounce,olive oil
3.84,ounce,yellow onion
11.51,ounce,garlic
0.02,ounce,red pepper
7.67,ounce,carrot
15.34,ounce,roma tomato
14.38,ounce,artichoke
14.86,ounce,garbanzo bean
30.68,ounce,chicken broth
0.48,ounce,sage
0.16,ounce,lemon juice
0.1,ounce,salt and pepper

Recipe:
Artichoke and Mussel Bisque Recipe - Allrecipes.com
10.16,ounce,artichoke
3.39,ounce,fennel
3.39,ounce,white onion
3.39,ounce,half-and-half
54.19,ounce,water
0.08,ounce,salt and pepper
3.39,ounce,garlic
0.42,ounce,butter
13.55,ounce,mussel
3.39,ounce,white wine
3.39,ounce,lemon
1.27,ounce,fresh parsley

Recipe:
Ash-e-jow (Iranian/Persian Barley Soup) Recipe - Allrecipes.com
48.72,ounce,chicken broth
0.76,ounce,vegetable oil
3.04,ounce,white onion
6.09,ounce,barley
0.13,ounce,turmeric
27.4,ounce,lime
1.52,ounce,tomato paste
0.08,ounce,salt
0.08,ounce,pepper
6.09,ounce,carrot
3.04,ounce,sour cream
3.04,ounce,fresh parsley

Recipe:
Asian Burger Soup Recipe - Allrecipes.com
40.44,ounce,ground beef
0.55,ounce,sesame seed
17.49,ounce,water
17.49,ounce,refried bean
2.19,ounce,red bell pepper
4.37,ounce,mushroom
17.49,ounce,green onion

Recipe:
Asian Chicken and Corn Soup Recipe - Allrecipes.com
0.32,ounce,vegetable oil
53.31,ounce,mushroom
1.28,ounce,white onion
1.28,ounce,celery
1.28,ounce,red bell pepper
1.28,ounce,carrot
3.85,ounce,garlic
0.06,ounce,salt and pepper
18.63,ounce,chicken broth
9.63,ounce,cream-style corn
3.21,ounce,chicken
0.32,ounce,rice vinegar
0.21,ounce,allspice
0.32,ounce,cornstarch
2.57,ounce,milk
2.41,ounce,basil

Recipe:
Asian Chicken Noodle Soup Recipe - Allrecipes.com
6.4,ounce,spaghetti
23.2,ounce,chicken broth
38.4,ounce,shiitake mushroom
12.8,ounce,green onion
6.4,ounce,chicken breast
12.8,ounce,egg

Recipe:
Asian Chicken Noodle Soup Recipe - Allrecipes.com
65.31,ounce,chicken
1.36,ounce,garlic powder
1.36,ounce,ginger
3.4,ounce,vegetable oil
2.72,ounce,sherry
1.36,ounce,white vinegar
2.72,ounce,soy sauce
13.61,ounce,mixed vegetables
8.16,ounce,fettuccine

Recipe:
Asian Mushroom Soup Recipe - Allrecipes.com
21.56,ounce,chicken broth
1.01,ounce,soy sauce
0.22,ounce,ginger
1.35,ounce,garlic
16.17,ounce,portabella cap
16.17,ounce,cabbage
5.39,ounce,carrot
10.78,ounce,chicken breast
10.78,ounce,udon noodle
5.39,ounce,green onion
10.78,ounce,spinach
0.07,ounce,pepper
0.34,ounce,mirin

Recipe:
Asparagus Cheese Soup Recipe - Allrecipes.com
48.06,ounce,water
0.5,ounce,chicken bouillon
0.13,ounce,salt
0.13,ounce,italian seasoning
0.13,ounce,pepper
36.05,ounce,asparagus
12.02,ounce,cheese
3.0,ounce,vegetarian burger

Recipe:
Asparagus Potato Soup Recipe - Allrecipes.com
18.04,ounce,potato
9.02,ounce,asparagus
4.51,ounce,white onion
3.38,ounce,celery
0.56,ounce,chicken bouillon
36.08,ounce,water
2.26,ounce,butter
4.51,ounce,flour
9.02,ounce,whipping cream
4.51,ounce,milk
0.09,ounce,salt
0.11,ounce,pepper
1.13,ounce,vegetarian burger
6.77,ounce,cheddar cheese

Recipe:
Asparagus Soup Recipe - Allrecipes.com
10.75,ounce,white onion
2.69,ounce,butter
43.01,ounce,asparagus
21.51,ounce,vegetable broth
0.27,ounce,garlic powder
0.27,ounce,pepper
21.51,ounce,milk

Recipe:
Asparagus Soup I Recipe - Allrecipes.com
42.76,ounce,potato
0.89,ounce,chicken bouillon
53.45,ounce,asparagus
1.34,ounce,fennel seed
0.22,ounce,pepper
1.34,ounce,half-and-half

Recipe:
Asparagus Soup II Recipe - Allrecipes.com
27.77,ounce,asparagus
4.63,ounce,leek
55.53,ounce,water
0.58,ounce,olive oil
0.58,ounce,butter
4.63,ounce,white onion
1.45,ounce,rice
4.63,ounce,salt
0.12,ounce,pepper
0.1,ounce,lemon juice

Recipe:
Asparagus Soup in Seconds Recipe - Allrecipes.com
43.99,ounce,asparagus
42.52,ounce,chicken broth
11.73,ounce,milk
1.47,ounce,butter
0.29,ounce,salt and pepper

Recipe:
Atlantic Corn Chowder Recipe - Allrecipes.com
28.07,ounce,potato
9.36,ounce,white onion
28.07,ounce,evaporated milk
34.5,ounce,cream-style corn

Recipe:
Atlas Mountain Soup Recipe - Allrecipes.com
8.5,ounce,apricot
1.42,ounce,olive oil
5.67,ounce,garlic
0.47,ounce,cinnamon
0.47,ounce,cumin
0.47,ounce,paprika
22.66,ounce,lamb
11.33,ounce,celery
5.67,ounce,red bell pepper
22.66,ounce,roma tomato
5.67,ounce,lemon
14.16,ounce,water
0.71,ounce,white sugar
0.14,ounce,pepper

Recipe:
Atomic Canuck Chili Recipe - Allrecipes.com
20.0,ounce,ground beef
1.25,ounce,white onion
0.94,ounce,red pepper
0.94,ounce,garlic powder
0.31,ounce,pepper
5.0,ounce,mushroom
17.5,ounce,refried bean
19.06,ounce,red kidney bean
7.5,ounce,tomato paste
1.25,ounce,white sugar
7.5,ounce,carrot
3.75,ounce,celery
5.0,ounce,red bell pepper
5.0,ounce,jalapeno
1.25,ounce,beer
2.5,ounce,chile sauce
1.25,ounce,barbeque sauce

Recipe:
Audry's Shrimp Stew Recipe - Allrecipes.com
5.88,ounce,vegetable oil
8.82,ounce,flour
8.82,ounce,white onion
17.63,ounce,shrimp
52.89,ounce,water
2.2,ounce,red bell pepper
2.2,ounce,celery
1.1,ounce,fresh parsley
0.18,ounce,salt
0.28,ounce,pepper

Recipe:
Aunt Dot's Brunswick Stew Recipe - Allrecipes.com
14.58,ounce,water
7.29,ounce,potato
3.64,ounce,white onion
13.67,ounce,pea
13.9,ounce,fresh corn
26.42,ounce,diced tomato
14.58,ounce,ground turkey
3.64,ounce,bacon
0.46,ounce,salt
0.46,ounce,pepper
0.46,ounce,garlic
0.46,ounce,white sugar
0.46,ounce,flour

Recipe:
Aunt Peg's Chowder Recipe - Allrecipes.com
1.12,ounce,vegetable oil
8.97,ounce,white onion
